player,rating,club,year
Michael Lawrence,89,Huddersfield Giants,2020
Aidan Sezer,88,Huddersfield Giants,2020
Jermaine McGillvary,85,Huddersfield Giants,2020
Adam O'Brien,84,Huddersfield Giants,2020
Ashton Golding,84,Huddersfield Giants,2020
Jacob Wardle,84,Huddersfield Giants,2020
Joe Wardle,84,Huddersfield Giants,2020
Kenny Edwards,84,Huddersfield Giants,2020
Leroy Cudjoe,84,Huddersfield Giants,2020
Suaia Matagi,84,Huddersfield Giants,2020
Darnell McIntosh,83,Huddersfield Giants,2020
Lee Gaskell,83,Huddersfield Giants,2020
Matty English,83,Huddersfield Giants,2020
James Gavet,81,Huddersfield Giants,2020
Jordan Turner,80,Huddersfield Giants,2020
Sam Wood,80,Huddersfield Giants,2020
Tom Holmes,80,Huddersfield Giants,2020
Carlos Tuimavave,87,Hull FC,2020
Jake Connor,87,Hull FC,2020
Josh Griffin,87,Hull FC,2020
Ligi Sao,87,Hull FC,2020
Joe Cator,86,Hull FC,2020
Jordan Lane,85,Hull FC,2020
Bureta Faraimo,84,Hull FC,2020
Jamie Shaul,84,Hull FC,2020
Manu Ma'U,84,Hull FC,2020
Marc Sneyd,84,Hull FC,2020
Ratu Naulago,84,Hull FC,2020
Scott Taylor,84,Hull FC,2020
Danny Houghton,83,Hull FC,2020
Jordan Johnstone,83,Hull FC,2020
Brad Fash,82,Hull FC,2020
Tevita Satae,82,Hull FC,2020
Mahe Fonua,81,Hull FC,2020
Cameron Smith,90,Leeds Rhinos,2020
Ash Handley,88,Leeds Rhinos,2020
Rhyse Martin,88,Leeds Rhinos,2020
Mikolaj Oledzki,87,Leeds Rhinos,2020
Kruise Leeming,85,Leeds Rhinos,2020
Alex Mellor,84,Leeds Rhinos,2020
Ava Seumanufagai,84,Leeds Rhinos,2020
Jack Walker,84,Leeds Rhinos,2020
Konrad Hurrell,84,Leeds Rhinos,2020
Liam Sutcliffe,84,Leeds Rhinos,2020
Luke Briscoe,84,Leeds Rhinos,2020
Luke Gale,84,Leeds Rhinos,2020
Matt Prior,84,Leeds Rhinos,2020
Robert Lui,84,Leeds Rhinos,2020
Richard Myler,82,Leeds Rhinos,2020
Brad Dwyer,81,Leeds Rhinos,2020
James Donaldson,81,Leeds Rhinos,2020
Daryl Clark,91,Warrington Wolves,2020
Mike Cooper,89,Warrington Wolves,2020
Ben Currie,88,Warrington Wolves,2020
Blake Austin,88,Warrington Wolves,2020
Toby King,88,Warrington Wolves,2020
Chris Hill,85,Warrington Wolves,2020
Jack Hughes,85,Warrington Wolves,2020
Stefan Ratchford,85,Warrington Wolves,2020
Anthony Gelling,84,Warrington Wolves,2020
Gareth Widdop,84,Warrington Wolves,2020
Jason Clark,84,Warrington Wolves,2020
Josh Charnley,84,Warrington Wolves,2020
Tom Lineham,84,Warrington Wolves,2020
Ben Murdoch-Masila,82,Warrington Wolves,2020
Danny Walker,82,Warrington Wolves,2020
Joe Philbin,82,Warrington Wolves,2020
Matthew Ashton,82,Warrington Wolves,2020
Liam Farrell,92,Wigan Warriors,2020
Bevan French,90,Wigan Warriors,2020
Sam Powell,90,Wigan Warriors,2020
Jackson Hastings,89,Wigan Warriors,2020
Morgan Smithies,88,Wigan Warriors,2020
Sean O'Loughlin,86,Wigan Warriors,2020
Dominic Manfredi,85,Wigan Warriors,2020
Jake Bibby,85,Wigan Warriors,2020
Joe Burgess,85,Wigan Warriors,2020
Oliver Partington,85,Wigan Warriors,2020
Thomas Leuluai,85,Wigan Warriors,2020
Willie Isa,85,Wigan Warriors,2020
Zak Hardaker,85,Wigan Warriors,2020
Joe Bullock,84,Wigan Warriors,2020
Ethan Havard,83,Wigan Warriors,2020
Harry Smith,83,Wigan Warriors,2020
Liam Byrne,83,Wigan Warriors,2020
Luke Yates,88,Huddersfield Giants,2021
Chris McQueen,86,Huddersfield Giants,2021
Michael Lawrence,86,Huddersfield Giants,2021
Ashton Golding,84,Huddersfield Giants,2021
Jacob Wardle,84,Huddersfield Giants,2021
Jermaine McGillvary,84,Huddersfield Giants,2021
Josh Jones,84,Huddersfield Giants,2021
Nathan Peats,84,Huddersfield Giants,2021
Oliver Russell,84,Huddersfield Giants,2021
Jack Cogger,83,Huddersfield Giants,2021
James Gavet,83,Huddersfield Giants,2021
Louis Senior,83,Huddersfield Giants,2021
Ricky Leutele,83,Huddersfield Giants,2021
Matty English,82,Huddersfield Giants,2021
Owen Trout,82,Huddersfield Giants,2021
Joe Greenwood,81,Huddersfield Giants,2021
Sam Wood,80,Huddersfield Giants,2021
Jake Connor,87,Hull FC,2021
Carlos Tuimavave,85,Hull FC,2021
Josh Griffin,85,Hull FC,2021
Ligi Sao,85,Hull FC,2021
Adam Swift,84,Hull FC,2021
Andre Savelio,84,Hull FC,2021
Danny Houghton,84,Hull FC,2021
Jordan Lane,84,Hull FC,2021
Manu Ma'U,84,Hull FC,2021
Marc Sneyd,84,Hull FC,2021
Bureta Faraimo,83,Hull FC,2021
Josh Reynolds,83,Hull FC,2021
Brad Fash,82,Hull FC,2021
Jordan Johnstone,82,Hull FC,2021
Tevita Satae,82,Hull FC,2021
Cameron Scott,81,Hull FC,2021
Mahe Fonua,80,Hull FC,2021
Cameron Smith,86,Leeds Rhinos,2021
Mikolaj Oledzki,86,Leeds Rhinos,2021
Rhyse Martin,86,Leeds Rhinos,2021
Ash Handley,85,Leeds Rhinos,2021
Kruise Leeming,85,Leeds Rhinos,2021
Alex Mellor,84,Leeds Rhinos,2021
Harry Newman,84,Leeds Rhinos,2021
Liam Sutcliffe,84,Leeds Rhinos,2021
Luke Briscoe,84,Leeds Rhinos,2021
Luke Gale,84,Leeds Rhinos,2021
Matt Prior,84,Leeds Rhinos,2021
Tom Briscoe,84,Leeds Rhinos,2021
Zane Tetevano,84,Leeds Rhinos,2021
Richard Myler,83,Leeds Rhinos,2021
Bodene Thompson,81,Leeds Rhinos,2021
Brad Dwyer,81,Leeds Rhinos,2021
James Donaldson,81,Leeds Rhinos,2021
Daryl Clark,90,Warrington Wolves,2021
Ben Currie,86,Warrington Wolves,2021
Blake Austin,86,Warrington Wolves,2021
Mike Cooper,86,Warrington Wolves,2021
Toby King,86,Warrington Wolves,2021
Chris Hill,85,Warrington Wolves,2021
Jack Hughes,85,Warrington Wolves,2021
Gareth Widdop,84,Warrington Wolves,2021
Jake Mamo,84,Warrington Wolves,2021
Josh Charnley,84,Warrington Wolves,2021
Matt Davis,84,Warrington Wolves,2021
Stefan Ratchford,84,Warrington Wolves,2021
Tom Lineham,84,Warrington Wolves,2021
Jason Clark,83,Warrington Wolves,2021
Danny Walker,82,Warrington Wolves,2021
Joe Philbin,82,Warrington Wolves,2021
Robbie Mulhern,82,Warrington Wolves,2021
Liam Farrell,90,Wigan Warriors,2021
Sam Powell,87,Wigan Warriors,2021
Jackson Hastings,86,Wigan Warriors,2021
Willie Isa,85,Wigan Warriors,2021
Brad Singleton,84,Wigan Warriors,2021
Harry Smith,84,Wigan Warriors,2021
Jake Bibby,84,Wigan Warriors,2021
John Bateman,84,Wigan Warriors,2021
Liam Marshall,84,Wigan Warriors,2021
Oliver Gildart,84,Wigan Warriors,2021
Oliver Partington,84,Wigan Warriors,2021
Tony Clubb,84,Wigan Warriors,2021
Zak Hardaker,84,Wigan Warriors,2021
Liam Byrne,83,Wigan Warriors,2021
Ethan Havard,82,Wigan Warriors,2021
Joe Bullock,82,Wigan Warriors,2021
Joe Shorrocks,81,Wigan Warriors,2021
Théo Fages,88,Huddersfield Giants,2022
Tui Lolohea,88,Huddersfield Giants,2022
Chris McQueen,87,Huddersfield Giants,2022
Luke Yates,86,Huddersfield Giants,2022
Chris Hill,85,Huddersfield Giants,2022
Leroy Cudjoe,85,Huddersfield Giants,2022
Oliver Russell,85,Huddersfield Giants,2022
Danny Levi,84,Huddersfield Giants,2022
Innes Senior,84,Huddersfield Giants,2022
Jermaine McGillvary,84,Huddersfield Giants,2022
Josh Jones,84,Huddersfield Giants,2022
Owen Trout,84,Huddersfield Giants,2022
Ricky Leutele,84,Huddersfield Giants,2022
Ashton Golding,83,Huddersfield Giants,2022
Oliver Wilson,83,Huddersfield Giants,2022
Joe Greenwood,82,Huddersfield Giants,2022
Matty English,82,Huddersfield Giants,2022
Jake Connor,85,Hull FC,2022
Adam Swift,84,Hull FC,2022
Danny Houghton,84,Hull FC,2022
Jordan Lane,84,Hull FC,2022
Josh Griffin,84,Hull FC,2022
Kane Evans,84,Hull FC,2022
Ligi Sao,84,Hull FC,2022
Luke Gale,84,Hull FC,2022
Manu Ma'U,84,Hull FC,2022
Brad Fash,83,Hull FC,2022
Connor Wynne,83,Hull FC,2022
Darnell McIntosh,83,Hull FC,2022
Josh Reynolds,83,Hull FC,2022
Tevita Satae,82,Hull FC,2022
Jordan Johnstone,81,Hull FC,2022
Jack Brown,80,Hull FC,2022
Joe Lovodua,80,Hull FC,2022
Cameron Smith,86,Leeds Rhinos,2022
Kruise Leeming,85,Leeds Rhinos,2022
Mikolaj Oledzki,85,Leeds Rhinos,2022
Rhyse Martin,85,Leeds Rhinos,2022
Aidan Sezer,84,Leeds Rhinos,2022
Ash Handley,84,Leeds Rhinos,2022
Blake Austin,84,Leeds Rhinos,2022
David Fusitu'A,84,Leeds Rhinos,2022
James Bentley,84,Leeds Rhinos,2022
Jarrod O'Connor,84,Leeds Rhinos,2022
Liam Sutcliffe,84,Leeds Rhinos,2022
Matt Prior,84,Leeds Rhinos,2022
Richard Myler,84,Leeds Rhinos,2022
Zak Hardaker,84,Leeds Rhinos,2022
Brad Dwyer,81,Leeds Rhinos,2022
James Donaldson,81,Leeds Rhinos,2022
Morgan Gannon,81,Leeds Rhinos,2022
Jacob Miller,83,Wakefield Trinity,2022
Jai Whitbread,83,Wakefield Trinity,2022
James Batchelor,83,Wakefield Trinity,2022
Jay Pitts,83,Wakefield Trinity,2022
Liam Hood,83,Wakefield Trinity,2022
Mason Lino,83,Wakefield Trinity,2022
Mat Ashurst,83,Wakefield Trinity,2022
Max Jowitt,83,Wakefield Trinity,2022
Tinirau Arona,83,Wakefield Trinity,2022
Corey Hall,82,Wakefield Trinity,2022
Lewis Murphy,82,Wakefield Trinity,2022
Reece Lyne,82,Wakefield Trinity,2022
Tom Johnstone,82,Wakefield Trinity,2022
Jordan Crowther,81,Wakefield Trinity,2022
David Fifita,80,Wakefield Trinity,2022
Eddie Battye,80,Wakefield Trinity,2022
Kelepi Tanginoa,80,Wakefield Trinity,2022
Daryl Clark,86,Warrington Wolves,2022
George Williams,86,Warrington Wolves,2022
Toby King,85,Warrington Wolves,2022
Ben Currie,84,Warrington Wolves,2022
Mike Cooper,84,Warrington Wolves,2022
Stefan Ratchford,84,Warrington Wolves,2022
Jason Clark,83,Warrington Wolves,2022
Josh Charnley,83,Warrington Wolves,2022
Josh Thewlis,83,Warrington Wolves,2022
Matthew Ashton,83,Warrington Wolves,2022
Oliver Holmes,83,Warrington Wolves,2022
Peter Mata'Utia,83,Warrington Wolves,2022
Robbie Mulhern,83,Warrington Wolves,2022
Danny Walker,82,Warrington Wolves,2022
Joe Philbin,82,Warrington Wolves,2022
Connor Wrench,80,Warrington Wolves,2022
Joe Bullock,80,Warrington Wolves,2022
Bevan French,91,Wigan Warriors,2022
Jai Field,90,Wigan Warriors,2022
Liam Farrell,88,Wigan Warriors,2022
Harry Smith,86,Wigan Warriors,2022
Sam Powell,86,Wigan Warriors,2022
Brad Singleton,85,Wigan Warriors,2022
Cade Cust,85,Wigan Warriors,2022
Jake Bibby,85,Wigan Warriors,2022
John Bateman,85,Wigan Warriors,2022
Kai Pearce-Paul,85,Wigan Warriors,2022
Liam Byrne,85,Wigan Warriors,2022
Liam Marshall,85,Wigan Warriors,2022
Morgan Smithies,85,Wigan Warriors,2022
Ethan Havard,83,Wigan Warriors,2022
Kaide Ellis,83,Wigan Warriors,2022
Oliver Partington,83,Wigan Warriors,2022
Patrick Mago,82,Wigan Warriors,2022
Chris McQueen,86,Huddersfield Giants,2023
Tui Lolohea,85,Huddersfield Giants,2023
Chris Hill,84,Huddersfield Giants,2023
Jake Connor,84,Huddersfield Giants,2023
Leroy Cudjoe,84,Huddersfield Giants,2023
Luke Yates,84,Huddersfield Giants,2023
Nathan Peats,84,Huddersfield Giants,2023
Esan Marsters,83,Huddersfield Giants,2023
Jermaine McGillvary,83,Huddersfield Giants,2023
Kevin Naiqama,83,Huddersfield Giants,2023
Oliver Wilson,83,Huddersfield Giants,2023
Sam Halsall,83,Huddersfield Giants,2023
Will Pryce,83,Huddersfield Giants,2023
Joe Greenwood,82,Huddersfield Giants,2023
Matty English,81,Huddersfield Giants,2023
Sam Hewitt,81,Huddersfield Giants,2023
