name,club,position,overall,potential,sourceSquadStatus,updateEligible
Bevan French,Wigan Warriors,Outside Back,93,93,First Team / Rotation,True
Mikey Lewis,Hull KR,Half Back,92,94,First Team / Rotation,True
Jake Connor,Leeds Rhinos,Stand-Off,91,91,First Team / Rotation,True
Maika Sivo,Leeds Rhinos,Winger,91,91,First Team / Rotation,True
Tristan Sailor,St Helens,Five-Eighth,90,92,First Team / Rotation,True
Brodie Croft,Leeds Rhinos,Half Back,90,90,First Team / Rotation,True
Lachlan Miller,Leeds Rhinos,Fullback,90,90,First Team / Rotation,True
James McDonnell,Leeds Rhinos,Back Row,89,91,First Team / Rotation,True
Charlie Staines,Catalans Dragons,Winger,89,90,First Team / Rotation,True
Kaide Ellis,Wigan Warriors,Prop,89,89,First Team / Rotation,True
Jai Field,Wigan Warriors,Fullback,89,89,First Team / Rotation,True
Herman Ese'ese,Hull FC,Prop,89,89,First Team / Rotation,True
Jackson Hastings,St Helens,Half Back,89,89,First Team / Rotation,True
Zach Eckersley,Wigan Warriors,Centre,88,92,First Team / Rotation,True
Adam Cook,Leigh Leopards,Half Back,88,89,First Team,True
Jake Trueman,Wakefield Trinity,Half Back,88,89,First Team / Rotation,True
Ben Currie,Warrington Wolves,Second Row,88,88,First Team / Rotation,True
Caleb Hamlin-Uele,Wakefield Trinity,Prop,88,88,First Team / Rotation,True
Mathieu Jussaume,Toulouse Olympique,Centre,88,88,First Team,True
Mike McMeeken,Wakefield Trinity,Prop,88,88,First Team / Rotation,True
Jack Welsby,St Helens,Half Back,87,91,First Team / Rotation,True
Joe Mellor,Bradford Bulls,Half Back,87,89,First Team / Rotation,True
Oliver Ashall-Bott,Toulouse Olympique,Outside Back,87,89,First Team / Rotation,True
Danny Walker,Warrington Wolves,Hooker,87,89,First Team / Rotation,True
Edwin Ipape,Leigh Leopards,Hooker,87,89,First Team / Rotation,True
Matty Ashton,Warrington Wolves,Outside Back,87,88,First Team / Rotation,True
George Williams,Warrington Wolves,Half Back,87,88,First Team / Rotation,True
Paul Vaughan,York Knights,Prop,87,87,First Team / Rotation,True
Junior Nsemba,Wigan Warriors,Prop,86,91,First Team / Rotation,True
Zac Lipowicz,Catalans Dragons,Second Row,86,90,Squad,True
Lachlan Lam,Leigh Leopards,Five-Eighth,86,90,First Team / Rotation,True
Tom Johnstone,Wakefield Trinity,Outside Back,86,89,First Team / Rotation,True
Umyla Hanley,Leigh Leopards,Fullback,86,88,First Team / Rotation,True
Ash Handley,Leeds Rhinos,Winger,86,88,First Team / Rotation,True
Harry Smith,Wigan Warriors,Half Back,86,88,First Team / Rotation,True
Matty Lees,St Helens,Prop,86,87,First Team / Rotation,True
Tyrone May,Hull KR,Five-Eighth,86,86,First Team / Rotation,True
Andy Ackers,Bradford Bulls,Hooker,86,86,First Team / Rotation,True
Daryl Clark,St Helens,Hooker,86,86,First Team / Rotation,True
Mark Percival,St Helens,Centre,86,86,First Team / Rotation,True
